"REF_DATE","GEO","DGUID","Retirement age","Class of worker","Sex","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1976","Canada","2016A000011124","Average age","Total, all retirees","Both sexes","Years","308","units","0","v2342630","1.1.1.1","64.9","","","","1"
"1976","Canada","2016A000011124","Average age","Total, all retirees","Males","Years","308","units","0","v2342638","1.1.1.2","65.3","","","","1"
"1976","Canada","2016A000011124","Average age","Total, all retirees","Females","Years","308","units","0","v2342646","1.1.1.3","63.9","","","","1"
"1976","Canada","2016A000011124","Average age","Public sector employees","Both sexes","Years","308","units","0","v2342632","1.1.2.1","63.5","","","","1"
"1976","Canada","2016A000011124","Average age","Public sector employees","Males","Years","308","units","0","v2342640","1.1.2.2","63.7","","","","1"
"1976","Canada","2016A000011124","Average age","Public sector employees","Females","Years","308","units","0","v2342648","1.1.2.3","63.3","","","","1"
"1976","Canada","2016A000011124","Average age","Private sector employees","Both sexes","Years","308","units","0","v2342634","1.1.3.1","65.0","","","","1"
"1976","Canada","2016A000011124","Average age","Private sector employees","Males","Years","308","units","0","v2342642","1.1.3.2","65.2","","","","1"
"1976","Canada","2016A000011124","Average age","Private sector employees","Females","Years","308","units","0","v2342650","1.1.3.3","64.4","","","","1"
"1976","Canada","2016A000011124","Average age","Self-employed","Both sexes","Years","308","units","0","v2342636","1.1.4.1","66.4","","","","1"
"1976","Canada","2016A000011124","Average age","Self-employed","Males","Years","308","units","0","v2342644","1.1.4.2","67.5","","","","1"
"1976","Canada","2016A000011124","Average age","Self-employed","Females","Years","308","units","0","v2342652","1.1.4.3","","x","","","1"
"1976","Canada","2016A000011124","Median age","Total, all retirees","Both sexes","Years","308","units","0","v2342629","1.2.1.1","65.0","","","","1"
"1976","Canada","2016A000011124","Median age","Total, all retirees","Males","Years","308","units","0","v2342637","1.2.1.2","65.1","","","","1"
"1976","Canada","2016A000011124","Median age","Total, all retirees","Females","Years","308","units","0","v2342645","1.2.1.3","64.8","","","","1"
"1976","Canada","2016A000011124","Median age","Public sector employees","Both sexes","Years","308","units","0","v2342631","1.2.2.1","64.8","","","","1"
"1976","Canada","2016A000011124","Median age","Public sector employees","Males","Years","308","units","0","v2342639","1.2.2.2","64.9","","","","1"
"1976","Canada","2016A000011124","Median age","Public sector employees","Females","Years","308","units","0","v2342647","1.2.2.3","64.8","","","","1"
"1976","Canada","2016A000011124","Median age","Private sector employees","Both sexes","Years","308","units","0","v2342633","1.2.3.1","65.0","","","","1"
"1976","Canada","2016A000011124","Median age","Private sector employees","Males","Years","308","units","0","v2342641","1.2.3.2","65.1","","","","1"
"1976","Canada","2016A000011124","Median age","Private sector employees","Females","Years","308","units","0","v2342649","1.2.3.3","64.8","","","","1"
"1976","Canada","2016A000011124","Median age","Self-employed","Both sexes","Years","308","units","0","v2342635","1.2.4.1","65.6","","","","1"
"1976","Canada","2016A000011124","Median age","Self-employed","Males","Years","308","units","0","v2342643","1.2.4.2","65.7","","","","1"
"1976","Canada","2016A000011124","Median age","Self-employed","Females","Years","308","units","0","v2342651","1.2.4.3","","x","","","1"
"1977","Canada","2016A000011124","Average age","Total, all retirees","Both sexes","Years","308","units","0","v2342630","1.1.1.1","65.1","","","","1"
"1977","Canada","2016A000011124","Average age","Total, all retirees","Males","Years","308","units","0","v2342638","1.1.1.2","65.6","","","","1"
"1977","Canada","2016A000011124","Average age","Total, all retirees","Females","Years","308","units","0","v2342646","1.1.1.3","63.8","","","","1"
"1977","Canada","2016A000011124","Average age","Public sector employees","Both sexes","Years","308","units","0","v2342632","1.1.2.1","64.0","","","","1"
"1977","Canada","2016A000011124","Average age","Public sector employees","Males","Years","308","units","0","v2342640","1.1.2.2","64.0","","","","1"
"1977","Canada","2016A000011124","Average age","Public sector employees","Females","Years","308","units","0","v2342648","1.1.2.3","63.8","","","","1"
"1977","Canada","2016A000011124","Average age","Private sector employees","Both sexes","Years","308","units","0","v2342634","1.1.3.1","65.3","","","","1"
"1977","Canada","2016A000011124","Average age","Private sector employees","Males","Years","308","units","0","v2342642","1.1.3.2","65.7","","","","1"
"1977","Canada","2016A000011124","Average age","Private sector employees","Females","Years","308","units","0","v2342650","1.1.3.3","64.4","","","","1"
"1977","Canada","2016A000011124","Average age","Self-employed","Both sexes","Years","308","units","0","v2342636","1.1.4.1","66.0","","","","1"
"1977","Canada","2016A000011124","Average age","Self-employed","Males","Years","308","units","0","v2342644","1.1.4.2","66.9","","","","1"
"1977","Canada","2016A000011124","Average age","Self-employed","Females","Years","308","units","0","v2342652","1.1.4.3","","x","","","1"
"1977","Canada","2016A000011124","Median age","Total, all retirees","Both sexes","Years","308","units","0","v2342629","1.2.1.1","65.0","","","","1"
"1977","Canada","2016A000011124","Median age","Total, all retirees","Males","Years","308","units","0","v2342637","1.2.1.2","65.1","","","","1"
"1977","Canada","2016A000011124","Median age","Total, all retirees","Females","Years","308","units","0","v2342645","1.2.1.3","64.8","","","","1"
"1977","Canada","2016A000011124","Median age","Public sector employees","Both sexes","Years","308","units","0","v2342631","1.2.2.1","64.8","","","","1"
"1977","Canada","2016A000011124","Median age","Public sector employees","Males","Years","308","units","0","v2342639","1.2.2.2","64.8","","","","1"
"1977","Canada","2016A000011124","Median age","Public sector employees","Females","Years","308","units","0","v2342647","1.2.2.3","64.8","","","","1"
"1977","Canada","2016A000011124","Median age","Private sector employees","Both sexes","Years","308","units","0","v2342633","1.2.3.1","65.2","","","","1"
"1977","Canada","2016A000011124","Median age","Private sector employees","Males","Years","308","units","0","v2342641","1.2.3.2","65.2","","","","1"
"1977","Canada","2016A000011124","Median age","Private sector employees","Females","Years","308","units","0","v2342649","1.2.3.3","65.0","","","","1"
"1977","Canada","2016A000011124","Median age","Self-employed","Both sexes","Years","308","units","0","v2342635","1.2.4.1","65.1","","","","1"
"1977","Canada","2016A000011124","Median age","Self-employed","Males","Years","308","units","0","v2342643","1.2.4.2","65.7","","","","1"
"1977","Canada","2016A000011124","Median age","Self-employed","Females","Years","308","units","0","v2342651","1.2.4.3","","x","","","1"
"1978","Canada","2016A000011124","Average age","Total, all retirees","Both sexes","Years","308","units","0","v2342630","1.1.1.1","65.0","","","","1"
"1978","Canada","2016A000011124","Average age","Total, all retirees","Males","Years","308","units","0","v2342638","1.1.1.2","65.6","","","","1"
"1978","Canada","2016A000011124","Average age","Total, all retirees","Females","Years","308","units","0","v2342646","1.1.1.3","63.6","","","","1"
"1978","Canada","2016A000011124","Average age","Public sector employees","Both sexes","Years","308","units","0","v2342632","1.1.2.1","63.7","","","","1"
"1978","Canada","2016A000011124","Average age","Public sector employees","Males","Years","308","units","0","v2342640","1.1.2.2","64.1","","","","1"
"1978","Canada","2016A000011124","Average age","Public sector employees","Females","Years","308","units","0","v2342648","1.1.2.3","63.0","","","","1"
"1978","Canada","2016A000011124","Average age","Private sector employees","Both sexes","Years","308","units","0","v2342634","1.1.3.1","65.2","","","","1"
"1978","Canada","2016A000011124","Average age","Private sector employees","Males","Years","308","units","0","v2342642","1.1.3.2","65.7","","","","1"
"1978","Canada","2016A000011124","Average age","Private sector employees","Females","Years","308","units","0","v2342650","1.1.3.3","63.8","","","","1"
"1978","Canada","2016A000011124","Average age","Self-employed","Both sexes","Years","308","units","0","v2342636","1.1.4.1","66.2","","","","1"
"1978","Canada","2016A000011124","Average age","Self-employed","Males","Years","308","units","0","v2342644","1.1.4.2","67.0","","","","1"
"1978","Canada","2016A000011124","Average age","Self-employed","Females","Years","308","units","0","v2342652","1.1.4.3","64.2","","","","1"
